tri,x0,y0,z0,x1,y1,z1,x2,y2,z2,energy
186,13.000000,9.000000,20.000000,14.000000,9.000000,20.000000,13.000000,10.000000,20.000000,0.000000
187,14.000000,9.000000,20.000000,14.000000,10.000000,20.000000,13.000000,10.000000,20.000000,0.000000
188,14.000000,9.000000,20.000000,15.000000,9.000000,20.000000,14.000000,10.000000,20.000000,0.000000
189,15.000000,9.000000,20.000000,15.000000,10.000000,20.000000,14.000000,10.000000,20.000000,0.000000
190,15.000000,9.000000,20.000000,16.000000,9.000000,20.000000,15.000000,10.000000,20.000000,0.000000
191,16.000000,9.000000,20.000000,16.000000,10.000000,20.000000,15.000000,10.000000,20.000000,0.000000
192,16.000000,9.000000,20.000000,17.000000,9.000000,20.000000,16.000000,10.000000,20.000000,0.000000
193,17.000000,9.000000,20.000000,17.000000,10.000000,20.000000,16.000000,10.000000,20.000000,0.000000
194,17.000000,9.000000,20.000000,18.000000,9.000000,20.000000,17.000000,10.000000,20.000000,0.000000
195,18.000000,9.000000,20.000000,18.000000,10.000000,20.000000,17.000000,10.000000,20.000000,0.000000
196,18.000000,9.000000,20.000000,19.000000,9.000000,20.000000,18.000000,10.000000,20.000000,0.000000
197,19.000000,9.000000,20.000000,19.000000,10.000000,20.000000,18.000000,10.000000,20.000000,0.000000
198,19.000000,9.000000,20.000000,20.000000,9.000000,20.000000,19.000000,10.000000,20.000000,0.000000
199,20.000000,9.000000,20.000000,20.000000,10.000000,20.000000,19.000000,10.000000,20.000000,0.000000
200,10.000000,10.000000,20.000000,11.000000,10.000000,20.000000,10.000000,11.000000,20.000000,0.000000
201,11.000000,10.000000,20.000000,11.000000,11.000000,20.000000,10.000000,11.000000,20.000000,0.000000
202,11.000000,10.000000,20.000000,12.000000,10.000000,20.000000,11.000000,11.000000,20.000000,0.000000
203,12.000000,10.000000,20.000000,12.000000,11.000000,20.000000,11.000000,11.000000,20.000000,0.000000
204,12.000000,10.000000,20.000000,13.000000,10.000000,20.000000,12.000000,11.000000,20.000000,0.000000
205,13.000000,10.000000,20.000000,13.000000,11.000000,20.000000,12.000000,11.000000,20.000000,0.000000
206,13.000000,10.000000,20.000000,14.000000,10.000000,20.000000,13.000000,11.000000,20.000000,0.000000
207,14.000000,10.000000,20.000000,14.000000,11.000000,20.000000,13.000000,11.000000,20.000000,0.000000
208,14.000000,10.000000,20.000000,15.000000,10.000000,20.000000,14.000000,11.000000,20.000000,0.000000
209,15.000000,10.000000,20.000000,15.000000,11.000000,20.000000,14.000000,11.000000,20.000000,0.000000
210,15.000000,10.000000,20.000000,16.000000,10.000000,20.000000,15.000000,11.000000,20.000000,0.000000
211,16.000000,10.000000,20.000000,16.000000,11.000000,20.000000,15.000000,11.000000,20.000000,0.000000
212,16.000000,10.000000,20.000000,17.000000,10.000000,20.000000,16.000000,11.000000,20.000000,0.000000
213,17.000000,10.000000,20.000000,17.000000,11.000000,20.000000,16.000000,11.000000,20.000000,0.000000
214,17.000000,10.000000,20.000000,18.000000,10.000000,20.000000,17.000000,11.000000,20.000000,0.000000
215,18.000000,10.000000,20.000000,18.000000,11.000000,20.000000,17.000000,11.000000,20.000000,0.000000
216,18.000000,10.000000,20.000000,19.000000,10.000000,20.000000,18.000000,11.000000,20.000000,0.000000
217,19.000000,10.000000,20.000000,19.000000,11.000000,20.000000,18.000000,11.000000,20.000000,0.000000
218,19.000000,10.000000,20.000000,20.000000,10.000000,20.000000,19.000000,11.000000,20.000000,0.000000
219,20.000000,10.000000,20.000000,20.000000,11.000000,20.000000,19.000000,11.000000,20.000000,0.000000
220,10.000000,11.000000,20.000000,11.000000,11.000000,20.000000,10.000000,12.000000,20.000000,0.000000
221,11.000000,11.000000,20.000000,11.000000,12.000000,20.000000,10.000000,12.000000,20.000000,0.000000
222,11.000000,11.000000,20.000000,12.000000,11.000000,20.000000,11.000000,12.000000,20.000000,0.000000
223,12.000000,11.000000,20.000000,12.000000,12.000000,20.000000,11.000000,12.000000,20.000000,0.000000
224,12.000000,11.000000,20.000000,13.000000,11.000000,20.000000,12.000000,12.000000,20.000000,0.000000
225,13.000000,11.000000,20.000000,13.000000,12.000000,20.000000,12.000000,12.000000,20.000000,0.000000
226,13.000000,11.000000,20.000000,14.000000,11.000000,20.000000,13.000000,12.000000,20.000000,0.000000
227,14.000000,11.000000,20.000000,14.000000,12.000000,20.000000,13.000000,12.000000,20.000000,0.000000
228,14.000000,11.000000,20.000000,15.000000,11.000000,20.000000,14.000000,12.000000,20.000000,0.000000
229,15.000000,11.000000,20.000000,15.000000,12.000000,20.000000,14.000000,12.000000,20.000000,0.000000
230,15.000000,11.000000,20.000000,16.000000,11.000000,20.000000,15.000000,12.000000,20.000000,0.000000
231,16.000000,11.000000,20.000000,16.000000,12.000000,20.000000,15.000000,12.000000,20.000000,0.000000
232,16.000000,11.000000,20.000000,17.000000,11.000000,20.000000,16.000000,12.000000,20.000000,0.000000
233,17.000000,11.000000,20.000000,17.000000,12.000000,20.000000,16.000000,12.000000,20.000000,0.000000
234,17.000000,11.000000,20.000000,18.000000,11.000000,20.000000,17.000000,12.000000,20.000000,0.000000
235,18.000000,11.000000,20.000000,18.000000,12.000000,20.000000,17.000000,12.000000,20.000000,0.000000
