tri,x0,y0,z0,x1,y1,z1,x2,y2,z2,energy
130,15.000000,6.000000,20.000000,16.000000,6.000000,20.000000,15.000000,7.000000,20.000000,0.289734
131,16.000000,6.000000,20.000000,16.000000,7.000000,20.000000,15.000000,7.000000,20.000000,0.288774
132,16.000000,6.000000,20.000000,17.000000,6.000000,20.000000,16.000000,7.000000,20.000000,0.287522
133,17.000000,6.000000,20.000000,17.000000,7.000000,20.000000,16.000000,7.000000,20.000000,0.287107
134,17.000000,6.000000,20.000000,18.000000,6.000000,20.000000,17.000000,7.000000,20.000000,0.286038
135,18.000000,6.000000,20.000000,18.000000,7.000000,20.000000,17.000000,7.000000,20.000000,0.285328
136,18.000000,6.000000,20.000000,19.000000,6.000000,20.000000,18.000000,7.000000,20.000000,0.284552
137,19.000000,6.000000,20.000000,19.000000,7.000000,20.000000,18.000000,7.000000,20.000000,0.283493
138,19.000000,6.000000,20.000000,20.000000,6.000000,20.000000,19.000000,7.000000,20.000000,0.282624
139,20.000000,6.000000,20.000000,20.000000,7.000000,20.000000,19.000000,7.000000,20.000000,0.281877
140,10.000000,7.000000,20.000000,11.000000,7.000000,20.000000,10.000000,8.000000,20.000000,0.296134
141,11.000000,7.000000,20.000000,11.000000,8.000000,20.000000,10.000000,8.000000,20.000000,0.295663
142,11.000000,7.000000,20.000000,12.000000,7.000000,20.000000,11.000000,8.000000,20.000000,0.295167
143,12.000000,7.000000,20.000000,12.000000,8.000000,20.000000,11.000000,8.000000,20.000000,0.294414
144,12.000000,7.000000,20.000000,13.000000,7.000000,20.000000,12.000000,8.000000,20.000000,0.293543
145,13.000000,7.000000,20.000000,13.000000,8.000000,20.000000,12.000000,8.000000,20.000000,0.292862
146,13.000000,7.000000,20.000000,14.000000,7.000000,20.000000,13.000000,8.000000,20.000000,0.291995
147,14.000000,7.000000,20.000000,14.000000,8.000000,20.000000,13.000000,8.000000,20.000000,0.291289
148,14.000000,7.000000,20.000000,15.000000,7.000000,20.000000,14.000000,8.000000,20.000000,0.290298
149,15.000000,7.000000,20.000000,15.000000,8.000000,20.000000,14.000000,8.000000,20.000000,0.289235
150,15.000000,7.000000,20.000000,16.000000,7.000000,20.000000,15.000000,8.000000,20.000000,0.288874
151,16.000000,7.000000,20.000000,16.000000,8.000000,20.000000,15.000000,8.000000,20.000000,0.288099
152,16.000000,7.000000,20.000000,17.000000,7.000000,20.000000,16.000000,8.000000,20.000000,0.286870
153,17.000000,7.000000,20.000000,17.000000,8.000000,20.000000,16.000000,8.000000,20.000000,0.286528
154,17.000000,7.000000,20.000000,18.000000,7.000000,20.000000,17.000000,8.000000,20.000000,0.285445
155,18.000000,7.000000,20.000000,18.000000,8.000000,20.000000,17.000000,8.000000,20.000000,0.284221
156,18.000000,7.000000,20.000000,19.000000,7.000000,20.000000,18.000000,8.000000,20.000000,0.283635
157,19.000000,7.000000,20.000000,19.000000,8.000000,20.000000,18.000000,8.000000,20.000000,0.282834
158,19.000000,7.000000,20.000000,20.000000,7.000000,20.000000,19.000000,8.000000,20.000000,0.281241
159,20.000000,7.000000,20.000000,20.000000,8.000000,20.000000,19.000000,8.000000,20.000000,0.280538
160,10.000000,8.000000,20.000000,11.000000,8.000000,20.000000,10.000000,9.000000,20.000000,0.295258
161,11.000000,8.000000,20.000000,11.000000,9.000000,20.000000,10.000000,9.000000,20.000000,0.294490
162,11.000000,8.000000,20.000000,12.000000,8.000000,20.000000,11.000000,9.000000,20.000000,0.293798
163,12.000000,8.000000,20.000000,12.000000,9.000000,20.000000,11.000000,9.000000,20.000000,0.293035
164,12.000000,8.000000,20.000000,13.000000,8.000000,20.000000,12.000000,9.000000,20.000000,0.292721
165,13.000000,8.000000,20.000000,13.000000,9.000000,20.000000,12.000000,9.000000,20.000000,0.291949
166,13.000000,8.000000,20.000000,14.000000,8.000000,20.000000,13.000000,9.000000,20.000000,0.291249
167,14.000000,8.000000,20.000000,14.000000,9.000000,20.000000,13.000000,9.000000,20.000000,0.290199
